genre,classical,jazz,pop,rock
classical,0.071453,0.146149,0.185053,0.158668
jazz,0.146149,0.102466,0.128942,0.122138
pop,0.185053,0.128942,0.138094,0.130029
rock,0.158668,0.122138,0.130029,0.123084
