k,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,0.553571,0.558974,0.558974,0.558974,0.553571
3,0.589286,0.595669,0.593498,0.593407,0.588599
5,0.607143,0.618159,0.612546,0.613018,0.607661
7,0.607143,0.618159,0.612546,0.613018,0.607661
