genre,classical,folk,jazz,pop,rock
classical,0.101070,0.285336,0.104151,0.232411,0.263501
folk,0.285336,0.025897,0.317359,0.143726,0.172751
jazz,0.104151,0.317359,0.097025,0.229845,0.269921
pop,0.232411,0.143726,0.229845,0.081978,0.123474
rock,0.263501,0.172751,0.269921,0.123474,0.154199
