k,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,0.775862,0.781479,0.768675,0.760493,0.763068
3,0.750000,0.791170,0.739013,0.727519,0.732077
5,0.793103,0.840135,0.782494,0.767433,0.771090
7,0.767241,0.797343,0.757403,0.738599,0.742466
9,0.750000,0.818609,0.738130,0.701489,0.706971
