0.00000000,0.11214710,0.14546131,0.16277444,0.13800994,0.10346698,0.09828965,0.09789517,0.11232666,0.08438473,0.09182412,0.12038474,0.09701888,0.15044365,0.15344147,0.09664919,0.10045263,0.10491790,0.13294026,0.10005444,0.12167918,0.11816260,0.09427509,0.09784672,0.09301418,0.32736247,0.32795282,0.32103533,0.32853727,0.32212435,0.32403928,0.32557802,0.32526155,0.32818867,0.32858378,0.32627564,0.32315182,0.32307859,0.32385267,0.32556643,0.32205975,0.32685197,0.32599767,0.32379971,0.32719831,0.32185194,0.32942630,0.32349339,0.09595258,0.09765588,0.09022228,0.09686565,0.10448537,0.09592611,0.10986836,0.10577492,0.09251856,0.08618159,0.08703848,0.10152789,0.10152789,0.10968459,0.09021000,0.10625772,0.09160696,0.10700189,0.10405716,0.10570491,0.11734163,0.24301544,0.23273606,0.22072312,0.16716637,0.15990941,0.17025532,0.23050708,0.24653557,0.23875882,0.26223651,0.13933418,0.15915090,0.17116081,0.23795703,0.19426668,0.17744730,0.22395272,0.23602154,0.13288835,0.20324598,0.24119807,0.31293841,0.30345803,0.20622763,0.28047943,0.30812255,0.19705143,0.48137830,0.20630435,0.23355713,0.47077070,0.36341435,0.28986236,0.27302862,0.21973247,0.25084577,0.21542443,0.36496575,0.29679931,0.16649118,0.21080640,0.22357710,0.22420579,0.15888853,0.27636675,0.27021586,0.23343948
0.11214710,0.00000000,0.09609727,0.14354794,0.11248230,0.12307088,0.09619350,0.09341702,0.07493945,0.11101148,0.08744134,0.10516211,0.11089164,0.16078015,0.16247809,0.09295619,0.08514956,0.08794639,0.11156925,0.08441129,0.08279177,0.08433467,0.09597263,0.08577695,0.08831726,0.34093904,0.34370450,0.33881464,0.34294085,0.33853355,0.33915586,0.34040683,0.33935258,0.34390830,0.34287214,0.34079130,0.33956243,0.33908411,0.34071142,0.34022232,0.33713078,0.34104442,0.34304358,0.33527924,0.34097525,0.33723200,0.34409232,0.33821689,0.08272899,0.08609841,0.09098710,0.07977729,0.09466291,0.08462574,0.10782106,0.08642703,0.11204617,0.09685105,0.11304226,0.12060869,0.12060869,0.08039550,0.09693058,0.10048772,0.08993643,0.12701025,0.10843068,0.09907775,0.10583976,0.30827551,0.26467311,0.25837364,0.20708440,0.22656024,0.21471419,0.29225492,0.28888074,0.25318330,0.29162262,0.18524338,0.20518440,0.23339954,0.28401724,0.24560771,0.22729264,0.28718023,0.28798358,0.19732609,0.26263456,0.26742866,0.33421144,0.30123577,0.25686111,0.30208440,0.35854630,0.20281415,0.50292634,0.27935115,0.23366320,0.48811623,0.37760202,0.32267503,0.33654680,0.26404139,0.25270704,0.27433702,0.38046739,0.31963350,0.14973594,0.26678671,0.24133638,0.21796216,0.13402153,0.29254800,0.29719372,0.23441011
0.14546131,0.09609727,0.00000000,0.11168095,0.06860410,0.13912356,0.11473139,0.10110472,0.10201399,0.11539841,0.11345495,0.10019399,0.12505377,0.15687687,0.16445667,0.10003115,0.08516149,0.11896932,0.09691773,0.09875286,0.08996757,0.08293012,0.09472511,0.08914311,0.08758908,0.28391566,0.28539829,0.28147713,0.28397852,0.28174911,0.28120158,0.28214959,0.28027291,0.28493507,0.28547857,0.28278103,0.28096538,0.28031215,0.28228518,0.28283699,0.27989909,0.28209072,0.28402344,0.28071520,0.28419626,0.28058447,0.28502621,0.28102766,0.10682917,0.11391089,0.12982098,0.10245611,0.11708518,0.09425483,0.10808952,0.11375850,0.11650471,0.12963455,0.12177808,0.12360210,0.12360210,0.08917047,0.11179634,0.10150616,0.12421751,0.12391455,0.10270399,0.09102752,0.10403993,0.36224156,0.30290837,0.30661623,0.24633480,0.25643793,0.24752810,0.33431787,0.35162499,0.27320593,0.34514765,0.19493768,0.24997566,0.28110567,0.33349425,0.27794962,0.26561394,0.33911969,0.34640695,0.22782406,0.29647702,0.31617468,0.37285547,0.35601352,0.29967636,0.35478999,0.42101405,0.20284910,0.48564497,0.30673453,0.25904827,0.43452315,0.32443715,0.36902901,0.39088011,0.28573408,0.28354288,0.31461741,0.32144420,0.37865760,0.16885546,0.30282716,0.22416869,0.20408750,0.10042074,0.33479938,0.33621408,0.26003885
0.16277444,0.14354794,0.11168095,0.00000000,0.08452181,0.15885770,0.14871475,0.14926874,0.15506512,0.12017301,0.13840152,0.12385842,0.15047206,0.09297092,0.12537755,0.13591006,0.11609812,0.15193698,0.11404579,0.15931930,0.14533212,0.13655524,0.11359785,0.13722877,0.14300219,0.16982681,0.17163119,0.16416810,0.17026297,0.16369855,0.16457128,0.16633441,0.16374852,0.17186629,0.17306964,0.16809029,0.16362924,0.16311893,0.16605694,0.16815722,0.16303306,0.16733066,0.16910682,0.16473238,0.17074735,0.16580436,0.17275520,0.16407858,0.15999547,0.16600320,0.18410608,0.15645709,0.14466291,0.15049419,0.12612899,0.15234718,0.13170812,0.15743504,0.14625637,0.14634838,0.14634838,0.13961010,0.14110405,0.13880307,0.16488254,0.12559339,0.12840678,0.10276731,0.14768873,0.21856655,0.15783212,0.16997183,0.13831629,0.13663188,0.12974439,0.19333122,0.20955516,0.14068025,0.20055280,0.10822422,0.14892487,0.16086172,0.18904408,0.14686516,0.15363294,0.20106163,0.20587049,0.13149988,0.15938999,0.17952706,0.22377098,0.20897065,0.17083002,0.21280646,0.26859774,0.14680075,0.33707471,0.17905247,0.14658643,0.31364001,0.21041745,0.23284205,0.26123979,0.16293293,0.15771765,0.20542789,0.20216012,0.23743089,0.10442533,0.17901859,0.11762175,0.10940832,0.07359772,0.21124125,0.19454379,0.14630549
0.13800994,0.11248230,0.06860410,0.08452181,0.00000000,0.12583650,0.11456025,0.10458262,0.11318580,0.10695520,0.10759994,0.08861688,0.12319206,0.11052301,0.12309848,0.09759163,0.08614029,0.11785918,0.08738048,0.10727894,0.10099153,0.08628728,0.08890130,0.09082941,0.10060964,0.23156766,0.23205365,0.22918983,0.23247646,0.22963267,0.23009615,0.23122184,0.22923515,0.23224604,0.23311800,0.23159433,0.22966584,0.22969120,0.22962691,0.23128567,0.22852452,0.23128417,0.23140057,0.23115580,0.23234976,0.23005657,0.23349428,0.22977168,0.11705983,0.11484714,0.13464067,0.11135435,0.11790570,0.10787346,0.10454577,0.11215244,0.11050300,0.12604621,0.11445045,0.12166230,0.12166230,0.10124037,0.10297476,0.09857487,0.12386042,0.11384043,0.10381603,0.09351262,0.10198717,0.31272288,0.25665291,0.25824876,0.20902819,0.22066186,0.20816464,0.28902635,0.30712035,0.23082443,0.29928794,0.16461702,0.21616578,0.23784940,0.28558820,0.24000860,0.22976389,0.29377067,0.30272193,0.19689504,0.25400126,0.27083275,0.32999701,0.31054319,0.26462372,0.30889045,0.37552158,0.15560073,0.43546891,0.26367719,0.21768136,0.38397936,0.27126580,0.32840774,0.34742977,0.24196251,0.24183993,0.27151043,0.27568379,0.33254620,0.14324456,0.26733497,0.18726554,0.17247446,0.08209275,0.28834009,0.29485025,0.22138291
0.10346698,0.12307088,0.13912356,0.15885770,0.12583650,0.00000000,0.09128566,0.09103705,0.11345245,0.08806536,0.09968682,0.09720771,0.09569960,0.12559037,0.12191485,0.09662865,0.10602326,0.12222844,0.11810968,0.10750352,0.11664361,0.09984414,0.09827535,0.09564705,0.09891538,0.28311762,0.28363390,0.27845803,0.28240506,0.28141468,0.28159505,0.28429974,0.28535367,0.28189132,0.28006349,0.28174713,0.28297249,0.28230758,0.27859881,0.28075203,0.28173677,0.28565895,0.27998730,0.28193767,0.28184872,0.27961724,0.28226446,0.27878441,0.10256706,0.10084610,0.10818536,0.10674164,0.13046059,0.10762042,0.09268408,0.11888837,0.08623727,0.09905738,0.09098171,0.09487933,0.09487933,0.10199080,0.09701023,0.11564141,0.10649789,0.10022124,0.09548545,0.10399474,0.09831753,0.20832969,0.22001659,0.21008696,0.16914465,0.18491704,0.16380077,0.24968510,0.23588509,0.21475821,0.25341665,0.13556948,0.17454912,0.18216795,0.22944523,0.19160493,0.16221064,0.23678578,0.23495380,0.14534808,0.21551360,0.22450764,0.28967100,0.27952588,0.19952842,0.26622521,0.27475422,0.14514367,0.43887326,0.18161742,0.20673705,0.42111926,0.31699395,0.26862850,0.22443076,0.19676911,0.22487962,0.17133640,0.33421677,0.26064033,0.15501065,0.20417470,0.19328275,0.19003110,0.13223298,0.25006192,0.24109711,0.20931400
0.09828965,0.09619350,0.11473139,0.14871475,0.11456025,0.09128566,0.00000000,0.07534391,0.08727015,0.08602495,0.07595622,0.07893238,0.09436596,0.13199211,0.12637868,0.07345103,0.08603778,0.09626165,0.11418993,0.08281835,0.09314506,0.08176725,0.08284756,0.07263002,0.07734349,0.31579016,0.31677210,0.31375053,0.31715206,0.31508973,0.31508406,0.31625255,0.31595466,0.31625390,0.31670038,0.31655444,0.31575511,0.31538188,0.31516854,0.31553110,0.31418604,0.31811059,0.31586450,0.31646984,0.31678311,0.31438863,0.31844275,0.31405364,0.08008454,0.08378919,0.08429510,0.07971945,0.09428991,0.08970798,0.08647648,0.09655396,0.09181142,0.08893434,0.09088111,0.10088924,0.10088924,0.07702397,0.07754614,0.09218219,0.08235182,0.10720749,0.08603334,0.09149486,0.08758035,0.26539078,0.22581601,0.22302558,0.18007710,0.19084588,0.17959017,0.25343382,0.25188605,0.22513880,0.25931136,0.14674727,0.17849004,0.20595597,0.24610784,0.20508051,0.19495432,0.24645168,0.24908873,0.16106476,0.21887239,0.22612133,0.29782595,0.29623675,0.21465404,0.28125077,0.31537308,0.15608952,0.47844588,0.22901004,0.21656400,0.46474138,0.35117369,0.27706308,0.28952365,0.21165934,0.23213637,0.22543456,0.36109739,0.27660407,0.14604049,0.23592389,0.21925459,0.20287132,0.12960486,0.27093643,0.24887640,0.21984225
0.09789517,0.09341702,0.10110472,0.14926874,0.10458262,0.09103705,0.07534391,0.00000000,0.07276569,0.08233133,0.08213334,0.08484369,0.09767475,0.13230769,0.12345917,0.07639279,0.08506195,0.09751172,0.10524763,0.07818443,0.08691641,0.07173840,0.07767334,0.07208324,0.07812615,0.31888807,0.31887005,0.31474230,0.31865628,0.31524397,0.31527673,0.31691017,0.31653506,0.31869574,0.31851592,0.31799354,0.31522153,0.31494485,0.31579606,0.31673206,0.31442395,0.31831677,0.31697185,0.31701189,0.31859190,0.31579169,0.31908574,0.31450913,0.07996004,0.08134274,0.08325128,0.07841028,0.08375060,0.07748494,0.09078368,0.08313145,0.08710052,0.08053116,0.09239070,0.08820509,0.08820509,0.07697997,0.08430613,0.08007184,0.08276171,0.10553973,0.07705964,0.08224247,0.08153838,0.25667536,0.22196540,0.21276556,0.18028930,0.18682419,0.17169162,0.25390231,0.25671760,0.22072658,0.26207148,0.15289796,0.18724843,0.20098651,0.23381350,0.19752512,0.18535204,0.24579387,0.25246193,0.16333082,0.20751568,0.22777995,0.30949648,0.28763892,0.20699108,0.28475967,0.30532245,0.16786297,0.48010266,0.22038451,0.22419469,0.46802137,0.35549214,0.28330375,0.30106715,0.22223569,0.24349823,0.22068189,0.36122056,0.27960512,0.15098459,0.22749530,0.21895921,0.20601740,0.12819386,0.26965567,0.25411036,0.22058313
0.11232666,0.07493945,0.10201399,0.15506512,0.11318580,0.11345245,0.08727015,0.07276569,0.00000000,0.11176963,0.08564233,0.08112159,0.11415694,0.16365164,0.15366653,0.07390574,0.07594862,0.07686690,0.10489652,0.06211513,0.06791140,0.06287767,0.08302032,0.06470533,0.06964829,0.34720063,0.34753200,0.34586586,0.34739279,0.34614469,0.34599367,0.34639893,0.34663963,0.34751937,0.34710232,0.34667677,0.34628208,0.34619590,0.34585050,0.34610588,0.34518537,0.34711279,0.34700863,0.34622613,0.34744569,0.34587831,0.34862802,0.34519388,0.07331589,0.07107905,0.07874042,0.06437819,0.09242814,0.07056069,0.09721167,0.08876912,0.10356059,0.08697884,0.10538262,0.11246365,0.11246365,0.06292514,0.08595688,0.08401353,0.06851007,0.12185751,0.09665032,0.09603160,0.07501256,0.36792197,0.31076947,0.30803674,0.26493896,0.27354824,0.25936948,0.34672930,0.35608403,0.29376259,0.35770214,0.21695263,0.26666906,0.29441114,0.34514017,0.28916976,0.26748810,0.34747196,0.35729943,0.23444978,0.31078909,0.32055361,0.37797998,0.36100409,0.30823964,0.36537831,0.43044181,0.21645373,0.51237291,0.32527237,0.28798694,0.50088583,0.38252480,0.37771730,0.41171780,0.31397010,0.30650110,0.31659862,0.39319234,0.38874826,0.19652066,0.32090138,0.25522398,0.21944504,0.13642371,0.36330186,0.35189612,0.28035831
0.08438473,0.11101148,0.11539841,0.12017301,0.10695520,0.08806536,0.08602495,0.08233133,0.11176963,0.00000000,0.08549775,0.09271521,0.08594186,0.11038517,0.11074311,0.08704249,0.09745773,0.10157012,0.10271243,0.09973377,0.11261332,0.09516969,0.08144440,0.09207036,0.09209326,0.26768365,0.26857137,0.25988594,0.26768310,0.26185988,0.26276263,0.26437506,0.26368231,0.26763145,0.26715996,0.26681022,0.26299179,0.26266013,0.26419520,0.26494836,0.26114050,0.26540191,0.26486357,0.26434082,0.26630583,0.26263189,0.26776633,0.26169063,0.08906128,0.10267765,0.09690555,0.10552348,0.09739110,0.09823077,0.08440888,0.10264655,0.08410110,0.09035950,0.08492597,0.09587156,0.09587156,0.09535418,0.09212703,0.09476700,0.09677688,0.09301011,0.08576488,0.09049125,0.09189713,0.20088927,0.18182300,0.18131190,0.13255828,0.13833641,0.12593803,0.21689144,0.20052176,0.18361684,0.21534654,0.11222730,0.13578138,0.15501077,0.18898460,0.15180535,0.14189630,0.19820968,0.19967920,0.11665340,0.17138574,0.19921735,0.26830691,0.24929143,0.16636286,0.24547898,0.25578089,0.15808197,0.42466400,0.16594491,0.18378189,0.41087316,0.30202828,0.24768110,0.24126117,0.17344147,0.20916189,0.18418994,0.30539203,0.24902256,0.12719877,0.17686988,0.18318880,0.18051050,0.11335432,0.22794919,0.21600193,0.18059728
